"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"96","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",-0.00452038049629033,-0.062057805459149,0.0510311525526124
"97","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",0.0105003850524152,-0.0423709947173889,0.060899147407651
"98","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.011185402119924,-0.076997279584671,0.0505098458615767
"99","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.0341468947157,0.00725293493516999,0.0619506476475986
"100","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0602595167956816,0.000441423883454473,0.120661827064057
"101","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0388403607471364,-0.0344382696925996,0.106933318417242
"102","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0837403770785174,0.0454268596833107,0.126908757236464
"103","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.023908693621129,-0.0406494342490675,0.0941992179414992
"104","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0693879850265138,0.0369934902295879,0.105153313852728
"105","(STRAT_mod8.4 - STRAT_mod49.8) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.0905670052553351,0.0409523590715559,0.142147529106513
"106","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod27.2)","Quartz",-0.0496433642240988,-0.0900107380093931,-0.0102110135767548
"107","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod29.6)","Quartz",-0.0350470026652845,-0.0686321725438366,-0.00186882043504655
"108","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.0566323097649917,-0.106899397518753,-0.0063307479835224
"109","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",-0.0117051740842111,-0.0495263161064461,0.0284064255166534
