"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"535","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",0.103023025115395,-0.421842230790431,0.614764063007341
"536","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.178663147596866,-0.715877305564967,0.291544296074321
"537","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.43594483256992,-0.044136438134674,0.930961724221564
"538","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.156669244966521,-0.32445736463121,0.611381175228697
"539","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.0742297485230706,-0.568201924449163,0.373460647362691
"540","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod29.6)","Silcrete",-0.334137124016396,-0.813869081048173,0.126031222015606
"541","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod37.1)","Silcrete",-0.108423526157628,-0.561214644662663,0.365632531668281
"542","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod49.8)","Silcrete",-0.391384705258385,-0.876850072793498,0.0328357030777315
"543","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod27.2)","Silcrete",0.213148822380536,-0.0378809415260247,0.451538105417001
"544","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod29.6)","Silcrete",-0.119720594646694,-0.650071967478451,0.389192477927024
"545","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod37.1)","Silcrete",0.103023025115395,-0.421842230790431,0.614764063007341
"546","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",-0.178663147596866,-0.715877305564967,0.291544296074321
"547","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.37429872884777,-1.17173830666795,0.40912356513787
"548","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",-0.150305471823685,-0.960967515825997,0.588212627605391
"549","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.431774105061666,-1.26774716930823,0.301256677356166
"550","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.176934618123424,-0.414250791581455,0.714612085943177
"551","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",-0.104374270051763,-0.66532203753815,0.437181042532114
"552","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.331524964856332,-0.911398757848,0.20937438315693
"553","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod25.5 - STRAT_mod37.1)","Silcrete",0.223408067382293,-0.189203633406708,0.647468317631641
"554","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod25.5 - STRAT_mod49.8)","Silcrete",-0.0558553547557744,-0.474562173742306,0.321661773223769
"555","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod27.2)","Silcrete",0.545693160378159,-0.00413026381372178,1.07256456520655
